scen,state,cost,opt_cost,regret,regret_share,offshore_gene,onshore_gene,PV_gene,battery_gene,methanation_gene,LCOE1,LCOE2,LC,str_loss,Price,Regret%,
158,36,21.05,19.98,1.07,0.050831354,56.93,227.67,173.85,6.78,11.61,36.13,49.51,15.82,6.76,30.25,,
158,37,20.71,19.41,1.3,0.062771608,56.93,227.67,173.85,8.82,11.88,35.57,48.7,15.46,6.97,22.63,,
158,38,21.26,20.01,1.25,0.058795861,56.93,227.67,173.85,8.82,11.88,36.58,50,15.46,6.97,22.63,,
158,39,21.81,20.31,1.5,0.068775791,56.93,227.67,173.85,8.82,11.88,37.59,51.3,15.46,6.97,22.63,,
158,40,20.9,19.49,1.41,0.067464115,56.93,227.67,173.85,6.78,11.61,35.86,49.15,15.83,6.76,26.41,,
158,41,21.45,20.16,1.29,0.06013986,56.93,227.67,173.85,6.78,11.61,36.87,50.45,15.83,6.76,26.41,,
158,42,22.01,20.5,1.51,0.068605179,56.93,227.67,173.85,6.78,11.61,37.88,51.78,15.83,6.76,26.41,,
158,43,21.09,19.54,1.55,0.073494547,56.93,227.67,173.85,6.78,11.61,36.2,49.6,15.83,6.76,30.25,,
158,44,21.64,20.24,1.4,0.064695009,56.93,227.67,173.85,6.78,11.61,37.21,50.9,15.83,6.76,30.25,,
158,45,22.19,20.59,1.6,0.072104552,56.93,227.67,173.85,6.78,11.61,38.22,52.2,15.83,6.76,30.25,,
158,46,16.73,15.39,1.34,0.080095637,56.93,227.67,173.85,8.82,11.88,28.26,39.28,15.46,6.97,22.63,,
158,47,17.28,15.92,1.36,0.078703704,56.93,227.67,173.85,8.82,11.88,29.27,40.58,15.46,6.97,22.63,,
158,48,17.83,16.22,1.61,0.090297252,56.93,227.67,173.85,8.82,11.88,30.28,41.88,15.46,6.97,22.63,,
158,49,16.93,16.06,0.87,0.051388069,56.93,227.67,173.85,6.78,11.61,28.57,39.75,15.83,6.76,26.41,,
158,50,17.48,16.59,0.89,0.050915332,56.93,227.67,173.85,6.78,11.61,29.58,41.05,15.83,6.76,26.41,,
158,51,18.03,16.87,1.16,0.064337216,56.93,227.67,173.85,6.78,11.61,30.59,42.36,15.83,6.76,26.41,,
158,52,17.11,16.31,0.8,0.046756283,56.93,227.67,173.85,6.78,11.61,28.91,40.18,15.83,6.76,30.25,,
158,53,17.67,16.89,0.78,0.044142615,56.93,227.67,173.85,6.78,11.61,29.92,41.5,15.83,6.76,30.25,,
158,54,18.22,17.19,1.03,0.056531284,56.93,227.67,173.85,6.78,11.61,30.93,42.81,15.83,6.76,30.25,,
158,55,17.87,16.83,1.04,0.058198097,56.93,227.67,173.85,8.82,11.88,30.36,41.98,15.46,6.97,22.63,,
158,56,18.42,17.36,1.06,0.057546145,56.93,227.67,173.85,8.82,11.88,31.37,43.28,15.46,6.97,22.63,,
158,57,18.97,17.65,1.32,0.069583553,56.93,227.67,173.85,8.82,11.88,32.38,44.58,15.46,6.97,22.63,,
158,58,18.07,17.24,0.83,0.045932485,56.93,227.67,173.85,6.78,11.61,30.66,42.45,15.83,6.76,26.41,,
158,59,18.62,17.81,0.81,0.043501611,56.93,227.67,173.85,6.78,11.61,31.67,43.75,15.83,6.76,26.41,,
